NAME,MLST ST (Klebsiella pneumoniae (Pasteur)),MLST PROFILE (Klebsiella pneumoniae (Pasteur)),CGMLST,LINCODE,SUBLINEAGE,CLONAL GROUP,Inc Types,K Locus,Predicted capsule (K locus) type,O locus,Predicted O type,Virulence Score,AEROBACTIN (AbST),COLIBACTIN (CbST),SALMOCHELIN (SmST),YERSINIABACTIN (YbST),RmpADC,rmpA2
SAMEA6375507,39,2_1_2_4_9_1_14,18668,0_0_107_2_0_0_0_1_0_0,39,10195,Col(pHAD28); Col440I; IncFIB(K); IncFII(K); repB(R1701),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5976610,39,2_1_2_4_9_1_14,18744,0_0_107_2_0_0_0_0_1_0,39,10195,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA6375558,39,2_1_2_4_9_1_14,18745,0_0_107_2_0_0_0_2_0_0,39,10195,IncFIB(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA6155746,39,2_1_2_4_9_1_14,18749,0_0_107_0_8_1_1_0_0_0,39,39,IncFIA(HI1)--IncFII(pKP91); IncFIB(K)(pCAV1099-114),KL116,unknown (KL116),OL2α.1,"O1αβ,2α",0,0,,0,0,-,-
SAMEA5976605,39,2_1_2_4_9_1_14,18744,0_0_107_2_0_0_0_0_1_0,39,10195,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5936797,39,2_1_2_4_9_1_14,19206,0_0_107_1_2_0_0_0_0_0,39,10192,Col440I; IncFIA(HI1); IncFIB(pB171); IncFII(K); IncFII(Yp); IncFII(pKP91); repB(R1701),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5976609,39,2_1_2_4_9_1_14,18744,0_0_107_2_0_0_0_0_1_0,39,10195,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5976604,39,2_1_2_4_9_1_14,18744,0_0_107_2_0_0_0_0_1_0,39,10195,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5758662,39,2_1_2_4_9_1_14,19075,0_0_107_1_0_5_0_0_0_0,39,10192,IncFIB(K)(pCAV1099-114); IncFII(K)--repB(R1701); IncHI1B(pNDM-MAR),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5976603,39,2_1_2_4_9_1_14,18744,0_0_107_2_0_0_0_0_1_0,39,10195,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA3649669,39,2_1_2_4_9_1_14,1793,0_0_107_0_0_0_0_0_0_0,39,39,IncFIB(K); IncFIB(pQil); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMEA3531873,39,2_1_2_4_9_1_14,4790,0_0_107_0_1_7_0_0_0_0,39,39,IncFIA(HI1); IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5949556,39,2_1_2_4_9_1_14,6633,0_0_107_0_0_0_0_0_2_0,39,39,ColRNAI; IncC; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMN13166972,39,2_1_2_4_9_1_14,24993,0_0_107_0_17_0_0_0_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K); IncR,KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 13; ICEKp2 (431-2LV),-,-
SAMEA4668437,39,2_1_2_4_9_1_14,19851,0_0_107_0_1_9_3_0_0_0,39,39,IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5951252,39,2_1_2_4_9_1_14,19872,0_0_107_0_1_9_8_0_0_0,39,39,Col(pHAD28); ColRNAI; IncC; IncFIB(K); IncR,KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA6368074,39,2_1_2_4_9_1_14,19925,0_0_107_0_14_0_0_0_0_0,39,39,Col(pHAD28); Col(pHAD28); ColRNAI; IncFIA(pBK30683); IncFIB(K)(pCAV1099-114); IncFIB(pQil); IncFII(K); IncHI1B(pNDM-MAR); IncR,KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5949554,39,2_1_2_4_9_1_14,19873,0_0_107_0_0_0_0_0_16_0,39,39,ColRNAI; IncC; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMEA3538501,39,2_1_2_4_9_1_14,1973,0_0_107_0_1_0_0_0_0_0,39,39,IncFII(K); repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMN07503081,39,2_1_2_4_9_1_14,6633,0_0_107_0_0_0_0_0_2_0,39,39,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMEA3649792,39,2_1_2_4_9_1_14,1603,0_0_107_0_1_1_0_0_0_0,39,39,IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151-1LV),-,-
SAMEA5753427,39,2_1_2_4_9_1_14,13983,0_0_107_0_4_0_1_4_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (truncated) (294-1LV),-,-
SAMN14478495,39,2_1_2_4_9_1_14,25197,0_0_107_0_9_1_0_0_0_0,39,39,IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 13; ICEKp2 (431-2LV),-,-
SAMN10390457,39,2_1_2_4_9_1_14,32399,0_0_107_1_0_0_11_0_0_0,39,10192,Col440I; ColpVC; IncFIB(K); IncFIB(pQil); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 16; ICEKp12 (287),-,-
SAMN12732054,39,2_1_2_4_9_1_14,25266,0_0_107_0_1_7_3_0_0_0,39,39,ColRNAI; IncFIA(pBK30683); IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 16; ICEKp12 (391-2LV),-,-
SAMEA5949560,39,2_1_2_4_9_1_14,20275,0_0_107_0_0_0_0_0_13_0,39,39,Col3M; ColRNAI; IncC; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMN08513422,39,2_1_2_4_9_1_14,4238,0_0_107_0_6_0_0_0_0_0,39,39,IncFIB(pQil),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5753339,39,2_1_2_4_9_1_14,13283,0_0_107_0_1_3_1_0_0_0,39,39,IncFIA(pBK30683); repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5949555,39,2_1_2_4_9_1_14,20275,0_0_107_0_0_0_0_0_13_0,39,39,ColRNAI; IncC; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMEA5753434,39,2_1_2_4_9_1_14,13260,0_0_107_1_0_0_4_1_0_0,39,10192,Col(IRGK); Col(MG828),KL62,K62,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5753470,39,2_1_2_4_9_1_14,13269,0_0_107_1_0_0_4_0_0_0,39,10192,IncFIB(K)--IncFII(K); IncHI2; IncHI2A,KL62,K62,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
